,name of item,price (RM),number of downloads,item URL
43,"Digital Planner Goodnotes, iPad Planner, ADHD Planner, Student Planner, Goal Planner, Undated Planner, 2024 Notability Daily Life Planner",50.57,1700.0,https://www.etsy.com/listing/1560795089/digital-planner-goodnotes-ipad-planner?click_key=ece0cb53154dcb721d287b4e4ff7bde9b2d63e88%3A1560795089&click_sum=4117c336&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-28&pro=1&bes=1&sts=1&dd=1
44,"2024 digital planner, dated digital planner, digital journal, goodnotes planner, ipad planner, daily notability planner, ADHD planner, Xodo",5.23,1100.0,https://www.etsy.com/listing/1580341602/2024-digital-planner-dated-digital?click_key=213d29a8e8bd87daad99c0c6264dcb006015ba20%3A1580341602&click_sum=3904b3ac&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-29&pro=1&bes=1&dd=1
45,"2023-2024-2025 Digital Planner, GoodNotes Planner, iPad Planner, Daily Planner, Notability Planner, Android Planner daily digital planner",23.08,9500.0,https://www.etsy.com/listing/1150654254/2023-2024-2025-digital-planner-goodnotes?click_key=97f6cb5a6421de34dc11cfbbbd7711aa6d2baeef%3A1150654254&click_sum=63b412ba&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-30&pro=1&bes=1&dd=1
46,"Undated Good notes Planner,Adhd Digital Planner,iPad Monthly Planner,Undated Digital Planner,Goodnotes Template,Onenote digital planner",1.02,47.0,https://www.etsy.com/listing/1561299664/undated-good-notes-planneradhd-digital?click_key=d0beeaa3efd2c11b150707803a8b9c6bc2b89050%3A1561299664&click_sum=786f2d2d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-31&pro=1&dd=1
47,"Dark Mode Digital Planner | Daily Journal | Digital Planner | Night Mode GoodNotes Planner | 2024 Planner for iPad, GoodNotes & Notability",5.23,1100.0,https://www.etsy.com/listing/1563137728/dark-mode-digital-planner-daily-journal?click_key=ee58c38d2850ac0638fd2e28bb45257b81fcd233%3A1563137728&click_sum=6ee6609a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-32&pro=1&bes=1&dd=1
48,"Digital Reading Journal, Digital Book Tracker for GoodNotes, iPad & Android Digital Reading Log, Digital Bookshelf, Portrait Reading Planner",13.68,2600.0,https://www.etsy.com/listing/1628944004/digital-reading-journal-digital-book?click_key=58c7dbad43286665c31cc141036154fec91d78fe%3A1628944004&click_sum=f77839a4&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-33&pro=1&bes=1&sts=1&dd=1
49,"THAT GIRL Planner | 2024 Digital Planner | 2024 Daily, Weekly & Monthly Planner | GoodNotes Planner | iPad Planner | 2024 Calendar",21.09,8700.0,https://www.etsy.com/listing/1373142881/that-girl-planner-2024-digital-planner?click_key=c4a7016b07bb776afc575094bd64484a8ca1337d%3A1373142881&click_sum=3ab084c6&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-34&pro=1&bes=1&sts=1&dd=1
50,"2024 Digital Planner for Goodnotes, Notability, iPad & Tablet | ADHD Planner | Minimalist Modern Vertical | Dated | The Elegant Planner",39.63,2100.0,https://www.etsy.com/listing/1587562177/2024-digital-planner-for-goodnotes?click_key=93314aa156d69ce6def072769a2d2f1e5c1cfd7c%3A1587562177&click_sum=dd89633b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-35&pro=1&bes=1&sts=1&dd=1
51,"Digital Planner 2024 | Goodnotes Planner 2024 | iPad Planner, DATED Planner, Notability Planner, Daily, Weekly, Monthly Digital Planner 2024",5.23,1100.0,https://www.etsy.com/listing/1623405866/digital-planner-2024-goodnotes-planner?click_key=b8f4294e6867884dee1bfe39e0703079e1604219%3A1623405866&click_sum=91ba1303&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-36&pro=1&bes=1&dd=1
52,"Premium Digital Planner 2024 2025 Undated ipad goodnotes notability, Digital journal, daily planner planner digital Dated ADHD Student V17",76.04,19100.0,https://www.etsy.com/listing/827253598/premium-digital-planner-2024-2025?click_key=574d021fe72f3dac05fdefcc3ca720857f06779a%3A827253598&click_sum=8e93e4e3&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=digital+planner&ref=search_grid-79417-1-37&pro=1&bes=1&sts=1&dd=1
